i,j,w
25067479,25067727,6.185
25067558,25067636,15.406
25067558,1569343909,1.69
25067636,25067558,15.406
25067636,1569343576,19.951
25067670,5104314098,12.647
25067670,25067728,12.337
25067670,5104314096,3.859
25067727,25067479,6.185
25067727,5104314353,2.045
25067727,5104314096,25.336
25067728,25067670,12.337
25067737,25067871,22.127
25067737,25067788,28.88
25067788,25067737,28.88
25067803,5141216741,18.874
25067871,1569312412,3.953
25067871,25067737,22.127
25067871,25067933,7.906
25067883,5141216790,3.239
25067883,5141216745,2.062
25067914,1569216123,7.147
25067914,1951616226,13.769
25067920,9659831674,7.221
25067933,25067871,7.906
25067935,5141216746,7.461
25067936,5141216782,1.701
25067936,5141216746,7.768
25068862,25069046,23.25
25069046,2642857212,16.573
25071090,25071131,8.569
25071131,25071090,8.569
25071131,25248126,38.04
25151180,8975529082,17.41
25151180,5600934876,24.906
25151180,1832129958,8.34
25161345,316763501,25.241
25161345,7836164765,3.316
25161346,1721678995,23.705
25161346,7553887464,30.742
25161347,5087519104,8.303
25161347,5090420965,4.855
25161347,7836155866,48.351
25161347,2387194148,32.512
25161348,8807429665,7.243
25161348,3499500226,23.173
25161348,9024139131,10.117
25161351,18468958,6.222
25161351,8336028510,21.173
25161352,3816097105,25.561
25161352,8336028516,4.177
25161353,25161365,25.564
25161353,3816097105,7.653
25161356,25161357,74.763
25161356,2566132611,25.786
25161356,25067326,38.915
25161357,25161356,74.763
25161357,2387194158,4.815
25161360,1951616322,27.536
25161360,7906964248,5.858
25161360,3644748767,22.46
25161361,7223298253,2.795
25161361,3644748767,24.505
25161362,9856119651,6.779
25161362,24950115,18.846
25161362,8753664977,23.811
25161363,9856119649,8.152
25161363,5141354331,18.056
25161363,24950115,14.587
25161365,4866623226,10.065
25161365,25161353,25.564
25161366,2387209415,4.828
25161368,7836164764,4.446
25161368,7836164763,1.606
25161370,1717643537,27.7
25161370,18395288,19.701
25161371,9856119636,5.538
25161371,28800667,19.01
25161371,9042026424,10.279
25161372,4085778923,28.692
25161373,7824747298,10.782
25161373,6967585840,21.066
25161373,7824747300,9.183
25161375,7911231384,9.8
25161375,7911267692,8.633
25161375,4085783105,7.423
25161375,7911267687,11.326
25161377,25161378,8.66
25161378,8807431548,4.243
25161379,3153656030,8.58
25161380,25161381,2.154
25161381,6032044867,2.344
25161383,25161380,15.592
25161384,6032044868,29.909
25161386,1727515734,28.746
25161387,4305986094,31.093
25248112,3816097106,12.982
25248112,3715515059,9.23
25248113,9030155654,14.186
25248114,24950110,29.265
25248114,24950107,9.64
25248115,2218344511,13.519
25248115,2218344510,6.296
25248117,2297373047,28.912
25248117,8318797236,12.178
25248118,8318797235,8.664
25248119,25248127,18.127
25248119,4688513218,22.597
25248120,3816097108,9.323
25248120,25248122,17.605
25248122,25248120,17.605
25248122,9781190367,3.73
25248123,30056277,14.476
25248123,9781190368,15.052
25248124,25248125,26.485
25248124,30056277,14.829
25248125,1211381855,9.195
25248125,25248124,26.485
25248126,25071131,38.04
25248126,24951721,25.692
25248126,24950112,6.22
25248127,1497452171,16.802
25248127,25248119,18.127
25248128,2793904931,14.928
25248128,109416,6.685
25248128,1497452171,12.643
25264997,20955170,35.821
25264998,2504847039,17.436
25265023,7911267688,5.518
25265075,1727515754,12.466
25265077,2059790748,6.75
25265077,7911243856,8.675
25265078,4077579334,7.914
25265079,473258249,28.344
25265080,7911243858,28.467
25278669,4117882860,13.733
25278669,25278670,16.577
25278670,25278669,16.577
25278670,696477399,21.726
25438595,25438638,25.859
25438595,25438732,19.286
25438638,25438595,25.859
25438732,25438595,19.286
25438732,2632464415,15.668
25470166,21990634,13.01
25470781,1938819340,6.075
25470781,1938819329,13.787
25470783,4379801334,5.198
25470784,7610670921,21.459
25470784,4379801334,11.255
25470928,1678452789,21.547
25470928,7610670780,77.517
25471289,10607132,93.599
25471681,4630855202,2.198
25471732,367106464,7.947
25471732,1236791478,8.026
25471733,4650375357,7.536
25471733,367106464,4.051
25471734,25503862,12.663
25471734,4650375357,5.689
25471736,25503860,4.305
25472324,7271474849,1.017
25472324,1617647944,37.185
25472379,762080111,2.079
25472545,1617596606,52.551
25472545,25472566,10.822
25472566,25473048,17.911
25472566,25472545,10.822
25472760,1882379285,7.171
25472760,4823243100,27.444
25472763,6374802571,51.927
25472763,4425001783,4.242
25472767,4425001781,9.342
25472767,25472771,51.229
25472767,4425001782,4.087
25472771,7447716112,70.719
25472771,25472767,51.229
25472789,9161061774,2.195
25472789,110141,39.052
25472800,2036125650,7.44
25472800,2940401398,5.444
25472800,4571194091,5.415
25472885,3739048020,1.516
25472885,3739048021,1.628
25472890,4675822095,16.098
25473004,1617532091,43.48
25473004,4665353662,25.391
25473004,1617647896,77.506
25473004,4665353644,50.15
25473048,25472566,17.911
25473048,1617596607,17.002
25473199,1311962080,14.233
25473199,109780,42.537
25473200,25632863,36.907
25473200,1215563897,17.918
25473200,1311962080,10.154
25473201,1311961868,37.809
25473202,875789647,23.92
25473202,5067002855,57.562
25473203,5067002855,2.869
25473204,1759454104,32.745
25473204,9042129986,5.229
25473204,25473205,1.57
25473205,25473204,1.57
25473205,1759454078,5.911
25473205,1215563881,36.234
25473206,1759454122,5.185
25473206,1759454106,5.566
25473207,6369329172,20.09
25473207,1759454118,6.634
25473279,4136124526,7.709
25473279,6265654109,13.048
25473281,869968536,5.676
25473281,903630659,19.148
25473281,8497605091,22.813
25474005,585201189,81.93
25474005,8579276917,17.652
25474015,8579276917,3.129
25474015,9694104278,6.262
25475053,1312471228,3.101
25475053,9694091981,10.758
25475072,9135848922,2.987
25475072,9135848923,2.549
25475182,1617596704,14.528
25475328,8579240307,12.046
25475328,8579240310,12.53
25475328,8579240309,12.505
25475331,8263157412,5.751
25475331,8263166218,5.178
25475332,8373728531,34.479
25475417,9135845216,2.384
25475417,9135845214,6.199
25475417,9690878344,6.587
25475419,4166967089,9.947
25475419,9856119627,8.627
25475419,283061836,11.639
25475561,9699944538,27.402
25475561,9690878337,4.809
25475597,1569486259,23.672
25475661,9699953505,6.277
25475663,9690915259,3.976
25475664,9690915273,4.63
25475674,9576827482,0.966
25475674,6525671279,7.996
25475678,6696695783,17.577
25475678,8784000965,4.205
25475688,4571940314,21.724
25475688,25499095,12.434
25475688,4571940315,19.097
25475690,25475691,21.88
25475690,4297212226,38.715
25475690,25499095,9.338
25475691,25475690,21.88
25475691,25499104,11.885
25475691,4297212128,70.296
25475692,4297212128,1.881
25475692,4297212129,2.006
25475693,4298970384,8.508
25475693,4297212194,3.526
25475693,4297212084,1.868
25475694,435104728,5.255
25475694,9823138206,8.936
25475695,355416921,1.57
25475696,1326821607,5.222
25475696,435104726,8.684
25475697,6239229422,36.951
25475697,1326821594,5.689
25475698,1326821466,9.943
25475698,1326821607,4.522
25475699,1326821620,12.575
25475699,6239229422,6.677
25475754,1493229962,14.341
25475754,1816777875,3.532
25475767,748797145,6.685
25475767,4297243218,5.961
25475770,5816743949,5.764
25475770,2203888698,7.767
25475770,1505332730,7.912
25476124,5931509721,2.448
25476127,4920098349,7.489
25476131,25476132,26.695
25476132,9135848920,24.991
25476134,25476124,36.474
25476134,5931509715,18.79
25476134,5580861156,40.815
25477106,28728208,16.206
25477106,3515286916,6.562
25477148,7636278191,18.285
25477149,7644884069,2.958
25477149,3785895379,50.614
25477150,1312188760,12.832
25477151,1312188696,15.035
25477152,1312188774,11.77
25477153,1312189091,9.534
25477154,1312188945,15.473
25477154,5006764040,7.752
25477156,1312188843,15.085
25477156,2402557839,54.765
25477197,2402557839,6.66
25477197,3093897988,16.159
25477228,1042862477,8.308
25477228,5925628361,8.601
25477228,3735886877,8.223
25477258,347541973,8.498
25477300,7815143503,20.715
25477301,3673602993,16.622
25477301,2935373159,14.326
25477301,6304787860,5.358
25477335,3858880675,6.234
25477335,9808795599,14.474
25477339,9808795599,8.663
25477339,9203578107,1.538
25477371,5257738387,3.464
25477371,5257738390,4.321
25477774,806373533,2.502
25477774,249467025,33.039
25477858,3661703766,2.753
25477858,819157946,7.527
25481504,6988528038,16.092
25481506,1236791504,20.174
25481506,4532363026,37.125
25495542,1832129783,6.641
25495542,25495809,25.22
25495542,1832052008,2.984
25495543,1832227886,22.375
25495543,1832227893,10.087
25495544,25495545,52.816
25495544,269550333,24.552
25495545,25495544,52.816
25495617,350437608,18.056
25495617,8645592521,77.894
25495617,25495618,14.401
25495618,25495617,14.401
25495618,25495769,8.126
25495640,25495858,4.569
25495640,21578459,8.741
25495640,8645592521,8.611
25495646,108390,34.236
25495695,25495769,9.723
25495695,323260106,35.622
25495697,9856119622,10.31
25495697,1816038230,38.173
25495697,108391,37.04
25495698,108391,9.444
25495698,7223695324,22.485
25495769,25495695,9.723
25495769,25496821,23.129
25495769,25495618,8.126
25495770,10572779,7.176
25495770,1816038230,6.294
25495807,343669798,12.674
25495807,1364169899,2.802
25495808,1832227968,7.871
25495808,1832228016,9.356
25495809,25495542,25.22
25495809,1832227968,31.405
25495819,25495858,38.054
25495819,1834657469,29.343
25495820,1834657467,1.79
25495820,5899738713,47.661
25495822,25495823,18.615
25495822,4275394254,2.468
25495822,350437528,3.206
25495823,350377999,23.282
25495823,25495822,18.615
25495824,1707790105,6.787
25495824,350377999,20.185
25495838,447887921,29.644
25495838,5736847361,35.9
25495852,5736847363,1.51
25495852,5736847364,1.78
25495854,749947393,5.915
25495854,269584410,12.545
25495855,749947402,4.907
25495855,9856119622,40.165
25495858,25495819,38.054
25495858,25495640,4.569
25496100,470727776,6.927
25496100,350629203,14.429
25496622,107693,9.269
25496622,7223695323,3.657
25496748,21583342,21.094
25496750,8972511963,43.962
25496773,5265840063,45.118
25496775,4211515637,12.841
25496777,663363473,22.123
25496779,25496780,22.188
25496779,25496782,26.907
25496780,25496779,22.188
25496781,25496789,34.161
25496782,25496779,26.907
25496782,25496783,30.891
25496783,25496782,30.891
25496783,1816038211,15.833
25496783,25496786,23.093
25496785,1958800795,21.143
25496786,25496783,23.093
25496786,1985084135,9.619
25496787,1985084135,15.782
25496787,25496814,26.082
25496787,25496788,31.99
25496788,25496797,22.106
25496788,25496787,31.99
25496788,25496781,22.171
25496789,25496790,32.047
25496790,25496792,27.617
25496792,8787384684,8.546
25496797,25496788,22.106
25496797,25496798,23.026
25496798,25496797,23.026
25496798,25496799,20.046
25496799,25496798,20.046
25496799,25496800,26.816
25496800,25496799,26.816
25496800,1816038233,15.055
25496800,5014591889,19.773
25496814,25496787,26.082
25496815,5265830862,19.428
25496817,25496818,23.009
25496817,5426506500,23.385
25496818,25496819,28.469
25496818,25496817,23.009
25496819,321255925,19.843
25496819,25496818,28.469
25496820,5060391417,9.644
25496820,321255925,2.755
25496821,25495769,23.129
25496821,5060391417,15.172
25496847,1832129795,12.422
25496847,1832129778,11.848
25496848,1655214955,8.737
25496848,1832129795,11.145
25496849,4076126707,10.785
25496849,1655214955,10.693
25496850,1655214934,5.592
25496850,4076126707,10.143
25496850,4730978978,2.941
25496851,595709975,76.342
25496854,9161061779,3.286
25496854,9161061778,18.955
25496855,1938953399,11.554
25496857,9203537438,11.321
25496857,5470932256,36.399
25496910,1312471188,24.221
25497222,9690974272,14.583
25497340,1938953437,2.251
25497347,1326821542,9.595
25497392,2146369238,62.127
25497563,4730978981,6.094
25497563,5504212623,11.261
25497564,5504212623,5.521
25497564,25497566,19.665
25497566,25497564,19.665
25497566,25497595,82.147
25497595,25497566,82.147
25497595,4158000323,46.678
25497595,3257317059,32.557
25497596,1326821593,10.03
25497599,21990633,6.048
25497603,1547393008,40.101
25497603,1547657140,16.765
25497611,4870281311,26.585
25497612,1813618230,5.91
25497613,4870281309,43.82
25497619,7075087298,1.96
25497619,9693963689,1.74
25497824,255860415,8.095
25497828,1326821596,4.183
25497829,6506796188,14.145
25497845,3722411669,21.183
25497845,435104721,34.43
25497872,9693963704,4.074
25497872,25497829,12.129
25497968,9808795609,9.051
25498457,25496815,26.14
25498458,21578454,21.528
25499095,25475688,12.434
25499095,25475690,9.338
25499104,25475691,11.885
25499115,5060405461,20.873
25499655,5711517565,13.872
25499655,2135411308,8.356
25499808,2632476618,25.83
25499808,2632476639,29.557
25500246,4378043682,14.502
25500246,21685484,30.088
25500427,20965799,2.497
25500517,2466445190,3.491
25500530,269547420,12.183
25500530,4378043682,24.231
25500535,107684,20.728
25500535,1726730307,6.139
25500535,8336028504,4.065
25503841,1726730303,4.633
25503841,8373690841,14.146
25503841,8373690842,5.797
25503845,7617785713,1.169
25503845,10572179,14.579
25503845,4643337044,34.669
25503848,7617785714,5.235
25503848,107685,9.404
25503848,8373690838,10.219
25503851,4630855193,18.498
25503851,10572179,14.814
25503860,1353133533,41.425
25503860,490946748,43.413
25503860,25471736,4.305
25503862,4240028580,12.246
25503862,25471734,12.663
25503880,7617755274,1.541
25503885,4378043283,17.861
25504129,4383369553,12.885
25504129,4383369519,7.656
25504143,1726730162,5.961
25504143,8336028505,8.131
25504143,2140421220,8.455
25504144,7607077372,2.561
25504144,1678452793,23.619
25504145,7610670830,29.018
25504145,25504148,7.731
