,cluster_id0,cluster_id1,cluster_id2,cluster_id3,cluster_id4,cluster_id5,cluster_id6
141,40.0,38.0,4.0,2.0,2.0,1.0,1
142,32.0,30.0,4.0,2.0,2.0,1.0,1
143,149.0,140.0,1.0,1.0,1.0,1.0,1
144,40.0,38.0,4.0,2.0,2.0,1.0,1
145,105.0,97.0,4.0,2.0,2.0,1.0,1
146,32.0,30.0,4.0,2.0,2.0,1.0,1
147,32.0,30.0,4.0,2.0,2.0,1.0,1
148,105.0,97.0,4.0,2.0,2.0,1.0,1
149,71.0,68.0,1.0,1.0,1.0,1.0,1
150,7.0,7.0,4.0,2.0,2.0,1.0,1
151,32.0,30.0,4.0,2.0,2.0,1.0,1
152,17.0,2.0,2.0,2.0,2.0,1.0,1
153,31.0,29.0,16.0,13.0,12.0,11.0,1
154,17.0,2.0,2.0,2.0,2.0,1.0,1
155,73.0,70.0,4.0,2.0,2.0,1.0,1
156,73.0,70.0,4.0,2.0,2.0,1.0,1
157,,,,,,,1
158,19.0,17.0,9.0,2.0,2.0,1.0,1
159,73.0,70.0,4.0,2.0,2.0,1.0,1
160,28.0,26.0,4.0,2.0,2.0,1.0,1
161,73.0,70.0,4.0,2.0,2.0,1.0,1
162,32.0,30.0,4.0,2.0,2.0,1.0,1
163,32.0,30.0,4.0,2.0,2.0,1.0,1
164,73.0,70.0,4.0,2.0,2.0,1.0,1
165,17.0,2.0,2.0,2.0,2.0,1.0,1
166,73.0,70.0,4.0,2.0,2.0,1.0,1
167,73.0,70.0,4.0,2.0,2.0,1.0,1
168,104.0,97.0,4.0,2.0,2.0,1.0,1
169,105.0,97.0,4.0,2.0,2.0,1.0,1
170,19.0,17.0,9.0,2.0,2.0,1.0,1
171,162.0,151.0,85.0,76.0,64.0,55.0,1
172,19.0,17.0,9.0,2.0,2.0,1.0,1
173,32.0,30.0,4.0,2.0,2.0,1.0,1
174,106.0,12.0,4.0,2.0,2.0,1.0,1
175,32.0,30.0,4.0,2.0,2.0,1.0,1
176,19.0,17.0,9.0,2.0,2.0,1.0,1
177,19.0,17.0,9.0,2.0,2.0,1.0,1
178,1.0,1.0,1.0,1.0,1.0,1.0,1
179,8.0,8.0,4.0,2.0,2.0,1.0,1
180,73.0,70.0,4.0,2.0,2.0,1.0,1
181,73.0,70.0,4.0,2.0,2.0,1.0,1
182,1.0,1.0,1.0,1.0,1.0,1.0,1
183,,,,,,,1
184,12.0,12.0,4.0,2.0,2.0,1.0,1
185,107.0,98.0,52.0,7.0,2.0,1.0,1
186,73.0,70.0,4.0,2.0,2.0,1.0,1
187,73.0,70.0,4.0,2.0,2.0,1.0,1
188,14.0,14.0,4.0,2.0,2.0,1.0,1
189,19.0,17.0,9.0,2.0,2.0,1.0,1
190,31.0,29.0,16.0,13.0,12.0,11.0,1
191,31.0,29.0,16.0,13.0,12.0,11.0,1
192,31.0,29.0,16.0,13.0,12.0,11.0,1
193,31.0,29.0,16.0,13.0,12.0,11.0,1
194,31.0,29.0,16.0,13.0,12.0,11.0,1
195,31.0,29.0,16.0,13.0,12.0,11.0,1
196,19.0,17.0,9.0,2.0,2.0,1.0,1
197,40.0,38.0,4.0,2.0,2.0,1.0,1
198,2.0,2.0,2.0,2.0,2.0,1.0,1
199,69.0,66.0,2.0,2.0,2.0,1.0,1
200,69.0,66.0,2.0,2.0,2.0,1.0,1
201,69.0,66.0,2.0,2.0,2.0,1.0,1
202,69.0,66.0,2.0,2.0,2.0,1.0,1
203,164.0,153.0,4.0,2.0,2.0,1.0,1
204,,,,,,,1
205,7.0,7.0,4.0,2.0,2.0,1.0,1
206,51.0,48.0,4.0,2.0,2.0,1.0,1
207,51.0,48.0,4.0,2.0,2.0,1.0,1
208,51.0,48.0,4.0,2.0,2.0,1.0,1
209,175.0,4.0,4.0,2.0,2.0,1.0,1
210,17.0,2.0,2.0,2.0,2.0,1.0,1
211,12.0,12.0,4.0,2.0,2.0,1.0,1
212,17.0,2.0,2.0,2.0,2.0,1.0,1
213,20.0,18.0,2.0,2.0,2.0,1.0,1
214,106.0,12.0,4.0,2.0,2.0,1.0,1
215,2.0,2.0,2.0,2.0,2.0,1.0,1
216,7.0,7.0,4.0,2.0,2.0,1.0,1
217,12.0,12.0,4.0,2.0,2.0,1.0,1
218,17.0,2.0,2.0,2.0,2.0,1.0,1
219,7.0,7.0,4.0,2.0,2.0,1.0,1
220,20.0,18.0,2.0,2.0,2.0,1.0,1
221,7.0,7.0,4.0,2.0,2.0,1.0,1
222,7.0,7.0,4.0,2.0,2.0,1.0,1
223,7.0,7.0,4.0,2.0,2.0,1.0,1
224,7.0,7.0,4.0,2.0,2.0,1.0,1
225,7.0,7.0,4.0,2.0,2.0,1.0,1
226,16.0,2.0,2.0,2.0,2.0,1.0,1
227,7.0,7.0,4.0,2.0,2.0,1.0,1
228,7.0,7.0,4.0,2.0,2.0,1.0,1
229,17.0,2.0,2.0,2.0,2.0,1.0,1
230,7.0,7.0,4.0,2.0,2.0,1.0,1
231,7.0,7.0,4.0,2.0,2.0,1.0,1
232,,,,,,,1
233,,,,,,,1
234,7.0,7.0,4.0,2.0,2.0,1.0,1
235,95.0,90.0,47.0,2.0,2.0,1.0,1
236,7.0,7.0,4.0,2.0,2.0,1.0,1
237,7.0,7.0,4.0,2.0,2.0,1.0,1
238,7.0,7.0,4.0,2.0,2.0,1.0,1
239,7.0,7.0,4.0,2.0,2.0,1.0,1
240,7.0,7.0,4.0,2.0,2.0,1.0,1
241,7.0,7.0,4.0,2.0,2.0,1.0,1
242,7.0,7.0,4.0,2.0,2.0,1.0,1
243,107.0,98.0,52.0,7.0,2.0,1.0,1
244,107.0,98.0,52.0,7.0,2.0,1.0,1
245,12.0,12.0,4.0,2.0,2.0,1.0,1
246,106.0,12.0,4.0,2.0,2.0,1.0,1
247,12.0,12.0,4.0,2.0,2.0,1.0,1
248,12.0,12.0,4.0,2.0,2.0,1.0,1
249,12.0,12.0,4.0,2.0,2.0,1.0,1
250,17.0,2.0,2.0,2.0,2.0,1.0,1
251,53.0,50.0,29.0,25.0,23.0,20.0,1
